Code,Name,Status,PSABDescription,ChartType,ChartAccountType,ParentFunctionCode,SummaryLine,IsBudgetable,ActualsPostable,SupportsPrograms,NCESReportingRequired,NotInUse
0000,Revenue- Balance Sheet,Active,This function number is a placeholder for all revenue and balance sheet or general ledger items. It is to be used only with Revenue or Balance Sheet Objects.,Uniform FY27,Revenue,,No,Yes,Yes,No,No,No
1000,Instruction,Active,"Instruction includes the activities dealing directly with the interaction between teachers and students provided for students: 1. In a school classroom. 2. In another location such as a home or hospital. 3. Other approved media, such as television, radio, computer, Internet, multimedia telephone. 4. In other learning situations such as those involving co-curricular and extra-curricular activities (including athletics). 5. Function 1000 (Instruction) also includes the cost of all activities directly involved with or related to instruction, including: 6. Aides or classroom assistants of any type. 7. Textbooks. 8. Instructional technology purchased for student use in the classroom for the purpose of direct instruction only (whether permanently assigned to one classroom or in a portable “pod”). 9. Pro-rated cost of teaching duties of administrators and other staff (e.g. principals, full-time department chairs, and guidance counselors). 10. Teacher training and travel. 11. Instructional coaches. Function 1000 (Instruction) is used with all Programs 1000–9000.",Uniform FY27,Expenditure,,Yes,Yes,Yes,Yes,Yes,No
2000,Support Services,Active,"Support services provide administrative, technical (such as guidance and health), and logistical support to facilitate and enhance instruction. These services exist as adjuncts for fulfilling the objectives of instruction, community services, and enterprise programs, rather than as entities within themselves. This is a “roll-up” account for budgeting and accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below. Actual reports will also be produced at the sub-function level.",Uniform FY27,Expenditure,,Yes,No,No,Yes,No,No
2100,Support Services-Students,Active,"Activities designed to assess and improve the well-being of students to ensure that they arrive at school able to learn. These activities supplement instructional processes, but are focused on students and their families rather than on the classroom. This function is used with Programs 0000 (No Program), 2000 (Special Programs), and 9000 (Co- Curricular and Extra-Curricular Activities). The following activities are charged to 2100 (Support Services – Students): 1. Attendance and Social Work Services.1 Activities designed to improve student attendance at school. These activities are focused on solving problems that affect students’ attendance. Some examples of services to be reported within this function code are attendance services and student accounting services. 1 A school district or charter school may decide to track these functions at a more detailed level, and then roll them up to the related sub- function for reporting. A list of optional, more detailed NCES codes is provided at the end of this section. 2. Guidance Services. Guidance services may include counseling services, aptitude testing, student record services, and placement services. Activities involving: i. Counseling with students and parents to improve students’ ability to succeed in school. ii. Consulting with other staff members on learning problems. iii. Evaluating the abilities of students. iv. Assisting students as they make their own educational and career plans and choices. v. Assisting students in personal and social development. vi. Providing referral assistance. 3. Health Services. Activities involving physical and mental health services that support the physical well-being of students outside of instructional activities. Included are activities that provide students with appropriate medical, dental and nursing services. 4. Psychological Services. This function includes the supervision of psychological services, related testing and counseling services, and psychotherapy services. Activities concerned with: i. Administering psychological tests and interpreting the results. ii. Gathering and interpreting information about student behavior. iii. Working with other staff members in planning school programs to meet the special needs of students as indicated by psychological tests and behavioral evaluation. iv. Planning and managing a program of psychological services, including psychological counseling for students, staff, and parents. 5. Speech Pathology and Audiology Services. Activities that identify, assess, and treat children with speech, hearing, and language impairments. 6. Occupational Therapy–Related Services. Activities that assess, diagnose, or treat students for all conditions requiring the services of an occupational therapist. 7. Other Student-Related Support Services. For example, Dean of Students and other positions designed to oversee the well-being of students and their ability to arrive at school ready and able to learn.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2200,Support Services-Instruction,Active,"Activities associated with assisting the instructional staff with the content and process of providing learning experiences for students. Use Program 0000 as a placeholder since function 2200 does not require program code. Activities include: 1. Library/Media Services. Activities concerned with directing, managing, and supervising educational media services, as well as such activities as: i. Selecting, acquiring, preparing, cataloging, and circulating books and other printed materials. ii. Planning for the use of the library by students, teachers, and other members of the instructional staff. iii. Guiding individuals in their use of library books, reference guides and materials, catalog materials, special collections, and other materials, whether maintained separately or as a part of an instructional materials center. iv. Developing and acquiring library materials and operating library facilities. v. Head of Library – Library/Media Specialists. 2. Instruction-Related Technology. Activities concerned with technology activities and services that support instruction but are not part of the instructional process (for example, student learning centers or labs). These activities include expenditures for internal technology support as well as support provided by external vendors using operating funds. Specifically, costs associated with the operation and support of computer learning labs, media center computer labs, instructional technology centers, instructional networks, and similar operations should be charged to this code. Do not include technology purchased for use in the classroom; charge these to 1000 (Instruction). Also, if a computer lab is operated by a certified teacher, working on a certified teacher pay schedule, the related compensation is not charged here, but is charged to 1000 (Instruction), except for SB-9 (31700) use function 4000. 3. Academic Student Assessment. Activities related to the assessment of students to determine effectiveness of instruction.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2300,Support Services-General Administration,Active,"Activities concerned with establishing and administering policy for operating the school district or charter school. Use Program 0000 as a placeholder since function 2300 does not require program code. Activities include: 1. Board of Education/Charter School Governance Council. Activities of the elected body that has been created according to state law and vested with responsibilities for educational activities in a given administrative unit. These include: i. Supervision of Board of Education Services. Activities concerned with directing and managing the general operation of the Board of Education. ii. Board Secretary/Clerk Services. Activities of the district performed in support of the school district or charter school board meeting. iii. Board Treasurer Services. iv. Election Services. Activities related to any school system election, including elections of officers and bond elections. v. Tax Assessment and Collection Services. vi. Staff Relations and Negotiations. 2. Executive Administration. Activities associated with the overall general administration of or executive responsibility for the entire school district. If a charter school has a chief executive officer to whom the principal reports, activities of that individual’s office are charged here. These activities include: i. Office of the Superintendent. Activities performed by the superintendent and such assistants as deputy, associate, and assistant superintendents in generally directing and managing all affairs of the school district or charter school. Activities of the offices of the deputy superintendents should be charged here, unless the activities can be placed properly into a service area. In this case, they would be charged to service area direction in that service area. ii. Community Relations. Activities and programs developed and operated system wide for bettering school-community relations. Do not include public relations/media services; charge these services to 2500 (Central Services). iii. State and Federal Relations. Activities associated with developing and maintaining good relationships with state and federal officials. The activities associated with grant procurement are included here.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2400,Support Services-School Administration,Active,"Activities concerned with overall administrative responsibility for a specific school. Do NOT include the teaching duties of school administrators here; rather, prorate this cost to 1000 (Instruction). Use Program 0000 as a placeholder since function 2400 does not require program code. Activities include: 1. Office of the Principal. Activities concerned with directing, managing and coordinating the operation of a particular school, including activities performed by the principal, assistant principals, and other assistants while they supervise all operations of the school, evaluate the staff members of the school, assign duties to staff members, supervise and maintain the records of the school, and coordinate school activities with those of the school district or charter school. 2. Other Support Services – School Administration. Other school administration services, including graduation expenditure and full-time department chairpersons.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2500,Central Services,Active,"Activities that support other administrative and instructional functions, including fiscal services, human resources, planning, and administrative information technology. Use Program 0000 as a placeholder since function 2500 does not require program code. Activities include: 1. Business Office/Fiscal Services. Activities concerned with the fiscal operations of the school district or charter school. This function includes budgeting, receiving and disbursing, financial and property accounting, payroll, inventory control, internal auditing, and funds management. Fiscal services are inclusive of supervision and operation of all fiscal services, including budgeting services, payroll, internal audit, and general accounting functions. 2. Purchasing, Warehousing, and Distributing Services. Activities concerned with purchasing, receiving, storing, and distributing supplies, furniture, equipment, and materials used in school district and charter school operations. 3. Printing, Publishing, and Duplicating Services. The activities of printing and publishing administrative publications such as annual reports, school directories, and manuals. Activities here also include centralized services for duplicating school materials and instruments such as school bulletins, newsletters, and notices. 4. Planning, Research, Development, and Evaluation Services. Activities associated with conducting and managing system-wide programs of planning, research, development, and evaluation for a school system. i. Planning services include activities concerned with selecting or identifying the overall, long-range goals and priorities of the district or charter school and formulating various courses of action needed to achieve these goals. ii. Research services include activities concerned with the systematic study and investigation of the various aspects of education in order to identify best practices. iii. Evaluation services include activities concerned with ascertaining the results or outcome of various courses of action through the careful appraisal of data in light of goals established. Do not include student academic testing here; rather charge these to 2200 (Support Services – Instruction). 5. Public Information Services. Activities concerned with writing, editing, and other preparation necessary to disseminate educational and administrative information to students, staff, managers, and the general public through direct mailing, various news media, email, the Internet and web sites, and personal contact. 6. Personnel Service (Human Resources). Activities concerned with maintaining efficient personnel for the school system. It includes such activities as recruitment and placement, non- instructional staff training, staff transfers, in-service training, health services, and staff accounting. Activities include: i. Supervision of Personnel Services. The activities of directing, managing, and supervising staff services. ii. Recruitment and Placement. Activities concerned with employing and assigning personnel for the school district or charter school. iii. Personnel Information. Services rendered in connection with the systematic recording and summarizing of information relating to staff members employed by the school district or charter school. iv. Non-Instructional Personnel Training. Activities associated with the professional development and training – whether provide internally or purchased from external vendors – non-instructional personnel, including in-service training, seminars and conferences, continuing professional education, courses for college credit (tuition reimbursement), and other activities related to the ongoing growth and development of non-instructional personnel. Includes the incremental costs associated with providing temporary employees to perform job duties while regular employees attend training. v. Health Services. Activities concerned with medical, dental, and nursing services provided for school district or charter school employees. Included are physical examinations, referrals, and emergency care. 7. Administrative Technology Services. Activities concerned with supporting the school district’s or charter school’s information technology systems, including supporting administrative networks, maintaining administrative information systems, and processing data for administrative and managerial purposes, except for SB-9 (31700) use function 4000.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2600,Operation & Maintenance of Plant,Active,"Activities concerned with keeping the physical plant open, comfortable and safe for use, including keeping grounds, buildings, and equipment in effective working condition and state of repair. These include the activities of maintaining safety in buildings, on the grounds, and in the vicinity of schools. Use Program 0000 as a placeholder since function 2600 does not require program code. Activities include: 1. Operation of Buildings. Activities concerned with keeping the physical plant clean and ready for daily use, including operating lighting and HVAC systems and doing minor repairs and the costs of building rental and property insurance. 2. Maintenance of Buildings. Activities associated with keeping buildings at an acceptable level of efficiency through repairs and preventative maintenance. 3. Care and Upkeep of Grounds. Activities involved in maintaining and improving the land (but not the buildings). These include snow removal, landscaping, grounds maintenance, and the like. 4. Care and Upkeep of Equipment. Activities involved in maintaining equipment owned or used by the school district or charter school. They include such activities as servicing and repairing furniture, machines, and movable equipment. 5. Vehicle Operation & Maintenance (Other Than Student Transportation Vehicles). Activities involved in maintaining general purpose vehicles such as trucks, tractors, graders, and staff vehicles. These include such activities as repairing vehicles; replacing vehicle parts; and cleaning, painting, greasing, fueling, and inspecting vehicles for safety (i.e., preventive maintenance). 6. Security. Activities concerned with maintaining a secure environment for students and staff, whether they are in transit to or from school, on a campus or administrative facility, or participating in school-sponsored events. These include costs associated with security plan development and implementation, installation of security monitoring devices (e.g., cameras, metal detectors), security personnel (e.g., campus police, security guards), purchase of security vehicles and communication equipment, and related costs. Costs associated with in-service training related to school safety, drug and violence prevention training, and alternative schools should not be charged to this function code. 7. Safety. Activities concerned with maintaining a safe environment for students and staff, whether they are in transit to or from school, on a campus or administrative facility, or participating in school- sponsored events. These include costs associated with installing and monitoring school fire alarm systems and providing school crossing guards, as well as other costs incurred in an effort to ensure the basic safety of students and staff. Costs associated with in-service training related to school safety, drug and violence prevention training, and alternative schools should not be charged to this function code.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2700,Student Transportation,Active,"Activities concerned with conveying students to and from school, as provided by state and federal law. These include trips between home and school and trips to school activities. The Transportation Director should be coded here. Expenditures for driver’s education programs should be coded to 1000 Instruction. Activities include: 1. Vehicle Operation. Activities involved in operating vehicles for student transportation, from the time the vehicles leave the point of storage until they return to the point of storage, including operation of buses or other student transportation vehicles. 2. Monitoring Services. Activities concerned with supervising students in the process of being transported between home and school and between school and school activities. Such supervision can occur while students are in transit and while they are being loaded and unloaded and it includes directing traffic at the loading stations. 3. Vehicle Servicing and Maintenance. Activities involved in maintaining student transportation vehicles, including repairing vehicle parts; replacing vehicle parts; and cleaning, painting, fueling and inspecting vehicles for safety.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
2900,Other Support Services,Active,"Includes expenditures for tax liability/penalty, litigation fees, restricted expenditures and emergency reserve. Use Program 0000 as a placeholder since function 2900 does not require program code.",Uniform FY27,Expenditure,2000,No,Yes,Yes,Yes,Yes,No
3000,Operation of Non-Instructional Services,Active,"Activities concerned with providing non-instructional services to students, staff, or the community. Used with Program 0000 only. This is a “roll-up” account for budgeting and accumulation of totals. Entries are not posted to the “roll-up” account, but to the account listed below. Actual reports will also be produced at the sub-function level.",Uniform FY27,Expenditure,,Yes,No,No,No,No,No
3100,Food Services Operations,Active,"Activities concerned with providing food to students and staff in a school or school district. This service area includes preparing and serving regular and incidental meals, lunches, or snacks in connection with school activities and food delivery. Use Program 0000 as a placeholder in fund 21000.",Uniform FY27,Expenditure,3000,No,Yes,Yes,Yes,Yes,No
3300,Community Services Operations,Active,"Activities concerned with providing community services to students, staff, or other community participants. Examples of this function would be offering adult education; after-school programs provided for the purpose of child-care; or recreational opportunities such as a community swimming pool. (summer school operations and after- school tutoring/instructional programs use Function 1000). Use Program 0000 as a placeholder since function 3300 does not require program code.",Uniform FY27,Expenditure,3000,No,Yes,Yes,Yes,Yes,No
4000,Capital Outlay,Active,"Activities concerned with acquiring heavy equipment, vehicles and land, as well as construction of buildings. Use Program 0000 as a placeholder since function 4000 does not require program code.",Uniform FY27,Expenditure,,Yes,Yes,Yes,No,Yes,No
5000,Debt Service,Active,"Activities related to servicing the long-term debt of the school district or charter school, including payments of both principal and interest. This function should be used to account for bond interest payments, retirement of bonded debt (including current and advance refundings), capital lease payments and other long-term notes. The receipt and payment of principal on those loans are treated as adjustments to the balance sheet object account 26021 (Loans Payable). Use Program 0000 as a placeholder since function 5000 does not require program code. NCES REQUIRED REPORTING CODES The following are the codes required to be reported to the NCES as identified herein. Please note that many of these are header accounts that will require roll-up of sub-accounts to meet the reporting requirements.",Uniform FY27,Expenditure,,Yes,Yes,Yes,No,Yes,No
