Code,Name,Status,PSABDescription,ChartType,ChartAccountType,ParentObjectCode,SummaryLine,IsBudgetable,ActualsPostable,RequiresJobClass,AcceptsFTE,UsesDependentCharterTransfer,NCESReportingRequired,AllowsNegative,NotInUse
11000,Cash Assets,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,No,No,No
11111,Unrestricted Cash,Active,Cash balances that have no restrictions associated with its use.,Uniform FY27,Revenue,11000,No,Yes,Yes,No,No,No,No,Yes,No
11112,Restricted Cash,Active,Cash balances that have specific restrictions associated with its use. Used in,Uniform FY27,Revenue,11000,No,Yes,Yes,No,No,No,No,Yes,No
11113,Reserved Cash - Special Revenue Bonds,Active,"Cash set aside and reserved, relating specifically to Special Revenue Bonds.",Uniform FY27,Revenue,11000,No,Yes,Yes,No,No,No,No,Yes,No
41000,Revenue From Local Sources,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,No,No,No
41100,Taxes Levied/Assessed by the School District,Active,"Compulsory charges levied by the school district to finance services performed for the common benefit. Separate accounts have been established for the 41100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,No,No,No
41110,Ad Valorem Taxes - School District,Active,"Taxes levied by a school district on the assessed value of real and personal property located within the school district that, within legal limits, is the final authority in determining the amount to be raised for school purposes. Separate accounts may be established for real property and for personal property. If separate accounts are established under this account, it becomes a “roll-up” account for the accumulation of totals; in which case no entries should be posted to this account.",Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,Yes,No,No
41113,Oil and Gas Taxes,Active,Ad valorem taxes upon oil and gas production within a school district. Include all taxes credited by County/State Treasurer.,Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,No,No,No
41114,Copper Production,Active,Ad valorem taxes upon copper production within a school district. Include all taxes credited by County/State Treasurer.,Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,No,No,No
41115,Other Special Revenue/Taxes,Active,Other special revenues or taxes not otherwise classified.,Uniform FY27,Revenue,41100,No,Yes,Yes,No,No,No,No,No,No
41280,Revenue In Lieu Of Taxes,Active,Bond/TIF (Tax Increment Financing).,Uniform FY27,Revenue,41000,No,Yes,Yes,No,No,No,No,No,No
41300,Tuition Income,Active,"Revenue received by a school district or charter school for educating individuals who reside outside the State of New Mexico or are the children of foreign nationals. These students may NOT be included in NOVA reports and are not included in a district’s membership when calculating the State Equalization Guarantee. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,No,No,No
41310,Tuition from Foreign Nationals,Active,Revenue received from foreign nationals to compensate a school district or charter school for providing education to their children. Revenue received should be credited to Fund 11000 (Operational). These students may NOT be included in NOVA reports and are not included in a district’s membership when calculating the State Equalization Guarantee.,Uniform FY27,Revenue,41300,No,Yes,Yes,No,No,No,Yes,No,No
41331,Tuition From School Districts outside the State,Active,Revenue received from School Districts outside the state to compensate a local school district or charter school for providing education to their children. Revenue received should be credited to Fund 11000 (Operational). These students may NOT be included in NOVA reports and are not included in a district’s membership when calculating the State Equalization Guarantee.,Uniform FY27,Revenue,41300,No,Yes,Yes,No,No,No,Yes,No,No
41500,Investment Income,Active,"Revenue from short-term and long-term investments, e.g. interest, dividends, rent from property held for investments. Such receipts shall be credited to the fund that provided the cash for investment. Earnings from investments from the Operational sub-fund shall be used for capital outlay expenditures. Separate accounts may be established for the 41500 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,No,No,No
41510,Interest on Investments.,Active,"All interest revenue on investments in U.S. Treasury and agency obligations, commercial paper, savings accounts, time certificates of deposit, mortgages, or other interest-bearing instruments. This would also include interest on demand deposits.",Uniform FY27,Revenue,41500,No,Yes,Yes,No,No,No,Yes,Yes,No
41520,Dividends on Investments.,Active,Revenue from dividends on stocks held for investment.,Uniform FY27,Revenue,41500,No,Yes,Yes,No,No,No,Yes,Yes,No
41530,Net Increase in the Fair Value of Investments.,Active,"Gains recognized from the sale of investments or changes in the fair value of investments. Gains represent the excess of sale proceeds (or fair value) over cost or any other basis at the date of sale (or valuation). All recognized investment gains may be accounted for by using this account; however, interest earnings from short-term investments may be credited to account 41510 (for tracking purposes only). For financial reporting purposes, GASB Statement 31 requires that all investment income, including the changes in fair value of investments, be reported as revenue in the operating statement.",Uniform FY27,Revenue,41500,No,Yes,Yes,No,No,No,Yes,Yes,No
41531,Realized Gains (Losses) on Investments.,Active,"Gains or losses recognized from the sale of investments. Gains represent the excess of sale proceeds over cost or any other basis at the date of sale. Losses represent the excess of the cost or any other basis at the date of sale over sales value. For financial reporting purposes, the net of all realized and unrealized investment gains and losses should be reported as a single line in the financial statements; however, this account and the following account may be used for internal tracking purposes.",Uniform FY27,Revenue,41500,No,Yes,Yes,No,No,No,Yes,Yes,No
41532,Unrealized Gains (Losses) on Investments.,Active,"Gains or losses recognized from changes in the value of investments. Gains represent the excess of fair value over cost or any other basis at the date of valuation. Losses represent the excess of the cost or any other basis at the date of valuation over fair value. For financial reporting purposes, the net of all realized and unrealized investment gains and losses should be reported as a single line in the financial statements; however, this account and the previous account may be used for internal tracking purposes.",Uniform FY27,Revenue,41500,No,Yes,Yes,No,No,No,Yes,Yes,No
41540,Investment Income from Real Property.,Active,"Revenue for rental, use charges, and other income on real property held for investment purposes.",Uniform FY27,Revenue,41500,No,Yes,Yes,No,No,No,Yes,Yes,No
41600,Food Services,Active,"Revenue for dispensing food to students and adults. Separate accounts have been established for the 41600 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,Yes,No,No
41603,Fees - Adults/Food Services,Active,"Revenue from dispensing food to adults, including teachers, parents, and adult education students.",Uniform FY27,Revenue,41600,No,Yes,Yes,No,No,No,No,No,No
41604,Fees - Students/Food Services,Active,Revenue from dispensing food to students. Federal reimbursements are not entered here. They should be recorded under revenue account 44202.,Uniform FY27,Revenue,41600,No,Yes,Yes,No,No,No,No,No,No
41605,Fees - Other/Food Services,Active,"Revenue from dispensing food to outside of regular food services, e.g. catering, a la carte sales.",Uniform FY27,Revenue,41600,No,Yes,Yes,No,No,No,No,No,No
41700,District Activities,Active,"Revenue resulting from co-curricular and extra-curricular activities controlled and administered by the school district or charter school. These revenues are not to be commingled with the proceeds from student activities. Separate accounts have been established for the 41700 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to this “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,Yes,No,No
41701,Fees - Activities,Active,Revenue from students for memberships in school clubs or organizations.,Uniform FY27,Revenue,41700,No,Yes,Yes,No,No,No,No,No,No
41702,Fees - Educational,Active,"Revenue from fees charged to students, e.g. lab fees, tutoring fees.",Uniform FY27,Revenue,41700,No,Yes,Yes,No,No,No,No,No,No
41705,Fees - Users,Active,Revenue from patrons of a school-sponsored activity such as a concert or a football game.,Uniform FY27,Revenue,41700,No,Yes,Yes,No,No,No,No,No,No
41706,Fees - Summer School,Active,Revenue from students relating to summer school programs.,Uniform FY27,Revenue,41700,No,Yes,Yes,No,No,No,No,No,No
41900,Other Revenue From Local Sources,Active,"Other revenue from local sources not classified above. Separate accounts have been established within the 41900 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to this “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,41000,No,No,No,No,No,No,No,No,No
41910,Rental Income,Active,"Earnings from rents and leases from school-owned property and/or facilities. Revenues received shall be credited to Fund 11000 (Operational). Any Teacherage rental shall be credited to Fund 12000 (Teacherage). Rental of property held for income purposes is not recorded here, but is recorded in account 41540 (Investment Income from Real Property).",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,Yes,No,No
41911,Royalties,Active,"Revenue from royalties (i.e., publications, recordings, mineral and oil royalties generated from production on school owned properties, capital credits, and utility co-ops).",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41920,Contributions and Donations From Private Sources (Non-Categorical),Active,"Revenue associated with contributions, gifts, bequests, and donations made by private organizations. These organizations include, but are not limited to, educational foundations, PTA/PTO organizations, campus booster clubs, and private individuals. This code should be used to record on-behalf of payments made by private organizations to school district or charter school personnel (e.g., stipends paid to teachers or other school district or charter school staff).",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,Yes,No,No
41921,Instructional - Categorical,Active,"Gifts, bequests and any other revenue received from local sources for a specified purpose related to Instruction.",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41922,Instructional Support - Categorical,Active,"Gifts, bequests and any other revenue received from local sources for a specified purpose related to Instructional Support.",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41923,Administration - Categorical,Active,"Gifts, bequests and any other revenue received from local sources for a specified purpose related to Administration.",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41924,Flow-through Grants from Districts to Charter Schools,Active,,Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,Yes,No,No,No
41931,Special Building - Local,Active,"Proceeds from the sale of property for which the local school board has requested separate accountability. This account may also be used to receipt gifts or bequests, and student vocational construction for large capital outlay projects.",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41953,Insurance Recoveries,Active,"Insurance recoveries for the replacement of personal, real property, and/or equipment.",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41955,Special Assessments (REC),Active,Regional Education Cooperative (REC) contract reimbursements to school districts and charter schools for services rendered.,Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,No,No,No
41980,Vendor Refund of Prior-Year’s Expenditures,Active,"Expenditures that occurred last year that are refunded this year. (e.g. refunds from prior year expenditures for overpayments, double payments, or returned merchandise) If the refund and the expenditure occurred in the current year, reduce this year’s expenditures, as prescribed by GAAP. Includes refunds from prior year expenditures for overpayments, double payments, or returned merchandise. Do not include refunds for current year expenditures; rather credit the refund to the original expenditure account as prescribed by GAAP. Do not include RfR payments from prior year! Use object 44504 for federal flow-through RfRs prior year Use object 43204 for state flow-through RfR prior year",Uniform FY27,Revenue,41900,No,Yes,Yes,No,No,No,Yes,No,No
43000,Revenue From State Sources,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,Yes,No,No
43100,Unrestricted Grants - State Sources,Active,"Revenue recorded as grants by the school district or charter school from state funds that can be used for any legal purpose desired by the school district or charter school without restriction. Separate accounts have been established within the 43100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,43000,No,No,No,No,No,No,No,No,No
43101,State Equalization Guarantee,Active,Revenue from the State Equalization Guarantee distributed by the State.,Uniform FY27,Revenue,43100,No,Yes,Yes,No,No,No,No,No,No
43104,Emergency - Supplemental,Active,A non-categorical distribution to school districts and charter schools that are in financial need.,Uniform FY27,Revenue,43100,No,Yes,Yes,No,No,No,No,No,No
43120,Charter School Administrative Revenue,Active,2% administrative revenue retained by the district from charter school program costs.,Uniform FY27,Revenue,43100,No,Yes,Yes,No,No,No,No,No,No
43200,Restricted Grants - State Sources,Active,"Revenue recorded as grants by the school district or charter school from state funds that must be used for a categorical or specific purpose. If such money is not completely used by the school district or charter school, it must be returned, usually to the state. Separate accounts have been established for the 43200. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,43000,No,No,No,No,No,No,No,No,No
43202,State Flow-through Grants,Active,Revenue from State appropriated grants that flow through PED.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43203,State Direct Grants,Active,Revenues received from state agencies (other than PED).,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43204,State Flow-Through Prior Year,Active,Only for funds 27nnn series and 31400 and 31700 series. State revenue for funding awarded in prior year(s).,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43205,Emergency - Capital Outlay,Active,Distributions to school districts and charter schools to be used for unforeseen capital outlay emergencies.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43206,Transportation Distribution,Active,Distribution for the purpose of providing transportation to and from schools for pupils in grades K-12 and qualified special education students. Revenues shall be credited to Fund 13000 (Transportation).,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43207,Instructional Materials 50% Core/Basal Allocation,Active,Revenue credited to the district for purchases of instructional materials on the State adopted list.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43208,PED Tuition for Students Attending out of State,Active,Distribution made to school districts paying for students attending school out-of-state because schools are not reasonably available within their residential district.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43209,PSCOC Awards,Active,State appropriated revenue allocated by the Public School Capital Outlay Council.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43210,Special Capital Outlay - State,Active,"State grants and matching revenue received from other State agencies for specific capital outlay purposes (i.e., energy conservation, construction of recreational facilities, paving).",Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43211,Instructional Materials 50% Supplementary Allocation,Active,"purchases of instructional materials, not on the State adopted list.",Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43212,Indirect Costs (State Flow-through Grants),Active,Indirect cost charged to a state Flow- through program and then transferred to the Operational sub-fund as reimbursement for administering the program. Indirect cost charged to a program is determined by applying the indirect cost rate approved by PED or a negotiated rate.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43213,Indirect Costs (State Direct Grants),Active,Indirect cost charged to other grants and then transferred to the Operational sub-fund as reimbursement for administering the program. Indirect cost charged to a program is determined by applying the indirect cost rate approved by PED or a negotiated rate.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43214,Inter-Governmental Contract Revenue/REC,Active,Revenue from other school districts and Rural Education Cooperatives (REC) and governmental entities through a contract or joint powers agreement.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43215,Inter-Governmental Contract Revenue,Active,Revenue from other school districts and charter schools through a contract or joint powers agreement.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
43216,Fees - Governmental Agencies,Active,Revenue from other governmental agencies.,Uniform FY27,Revenue,43200,No,Yes,Yes,No,No,No,No,No,No
44000,Revenue From Federal Sources,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,Yes,No,No
44100,Unrestricted Grants - Federal Direct,Active,"Revenues direct from the federal government as grants to the school district or charter school that can be used for any legal purpose desired by the school district or charter school without restriction. Separate accounts have been established within the 44100 series to identify the specific nature of the revenue item. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,44000,No,No,No,No,No,No,Yes,No,No
44103,"Impact Aid, Public Law 103-382",Active,Revenue received by the school district or charter school through Title VIII.,Uniform FY27,Revenue,44100,No,Yes,Yes,No,No,No,No,No,No
44105,IRS Interest Reimbursement,Active,,Uniform FY27,Revenue,44100,No,Yes,Yes,No,No,No,No,No,No
44107,Indirect Costs (Federal Direct Grants),Active,Indirect cost charged to a federal direct program and then transferred to the Operational fund as reimbursement for administering the federal program. Indirect cost charged to a federal program is determined by applying the indirect cost rate approved by PED or a negotiated rate.,Uniform FY27,Revenue,44100,No,Yes,Yes,No,No,No,No,No,No
44108,DOE Los Alamos/DOD,Active,"Revenue received by the Los Alamos school district from the U.S. Department of Energy, or by school districts from the U.S. Department of Defense.",Uniform FY27,Revenue,44100,No,Yes,Yes,No,No,No,No,No,No
44200,Unrestricted Grants - Federal Flow-through,Active,"Revenues from the federal government through the state as grants that can be used for any legal purpose desired by the school district or charter school without restriction. Separate accounts have been established within the 44200 series to identify the specific nature of the revenue item. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,44000,No,No,No,No,No,No,Yes,No,No
44204,Forest Reserve,Active,"Income received for the school district's share of forest reserve funds distributed by the Local Government Division of the Department of Finance and Administration in accordance with Section 22-8-33 NMSA, 1978 Compilation.",Uniform FY27,Revenue,44200,No,Yes,Yes,No,No,No,No,No,No
44205,Indirect Costs (Federal Flow-through Grants),Active,Indirect cost charged to a federal Flow- through program and then transferred to the Operational fund as reimbursement for administering the federal program. Indirect cost charged to a federal program is determined by applying the indirect cost rate approved by PED. Only in fund 11000 available.,Uniform FY27,Revenue,44200,No,Yes,Yes,No,No,No,No,No,No
44300,Restricted Grants - Federal Direct,Active,"Revenues direct from the federal government as grants to the school district or charter school that must be used for a categorical or specific purpose. If such money is not completely used by the school district or charter school, it usually is returned to the governmental unit. Separate accounts have been established within the 44300 series to identify the specific nature of the revenue item. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,44000,No,No,No,No,No,No,Yes,No,No
44301,Other Restricted Grants - Federal Direct,Active,Federal grants directly to school districts or charter schools.,Uniform FY27,Revenue,44300,No,Yes,Yes,No,No,No,No,No,No
44306,Special Capital Outlay - Federal,Active,"Federal grants for specific capital outlay purposes such as energy conservation, construction of recreational facilities, and paving.",Uniform FY27,Revenue,44300,No,Yes,Yes,No,No,No,No,No,No
44500,Restricted Grants - Federal Flow-through,Active,Revenues from the federal government through the state as grants to the school district or charter school that must be used for a categorical or specific purpose.,Uniform FY27,Revenue,44000,No,Yes,Yes,No,No,No,No,No,No
44504,Federal Flow-Through Prior Year,Active,Only for funds 24nnn series. Federal revenue for funding awarded in prior year(s).,Uniform FY27,Revenue,44000,No,Yes,Yes,No,No,No,No,No,No
44700,Federal Grants - Intermediate Sources,Active,"Revenues from the federal government through an intermediate agency. Separate accounts have been established within the 44700 series to identify the specific nature of the revenue item. This is a “roll-up account” for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,44000,No,No,No,No,No,No,Yes,No,No
44709,Department of Interior,Active,Revenue received through the county treasurer from the Fish and Wildlife Service under the Refuge Revenue Sharing Act of 1978 (PL 95-469).,Uniform FY27,Revenue,44700,No,Yes,Yes,No,No,No,No,No,No
45000,Other Financing Sources,Active,"This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,,Yes,No,No,No,No,No,Yes,No,No
45100,Issuance of Bonds,Active,"Used to record the face amount of the bonds that are issued. Short-term debt proceeds should not be classified as revenue. When a school district issues short-term debt (debt with duration of less than 12 months) that is to be repaid from governmental funds, a liability (notes payable) should be recorded in the balance sheet of the fund responsible for repayment of the debt. Separate accounts have been established for the 45100 series. This is a “roll-up” account for accumulation of totals. Entries are not posted to the “roll-up” account, but to the accounts listed below.",Uniform FY27,Revenue,45000,No,No,No,No,No,No,No,No,No
45110,Sale of Bonds,Active,Used to record the face amount of bonds sold. Exclude premiums or accrued interest from the sale of such bonds.,Uniform FY27,Revenue,45100,No,Yes,Yes,No,No,No,Yes,No,No
45114,Special Revenue Bond Proceeds,Active,"EXPENDITURE OBJECTS OVERVIEW The primary objective of expenditure objects is to maintain information on the article purchased or the service obtained. The first digit defines the general object category. The last three digits define the major object more specifically. On the modified accrual basis of accounting, expenditures are generally recognized when an event or transaction is expected to draw on current, spendable resources within the reporting fiscal period. For purposes of preparing the year-end financial statements and inclusion in the annual audit, accounts payable are to be recognized. Exchanges of cash for other current assets such as the investment of cash in United States bonds and the repayment of inter-fund loans shall not be considered expenditures. Governmental Funds - Expenditures: Expenditure classification is based primarily on the period the expenditures are expected to benefit. There are four major character classifications: current, capital outlay, debt service, and inter-governmental. The current classification represents benefits for the current period; capital outlays represent benefits for the current and future periods; and debt service is presumably for prior, current and future benefits. Inter-Governmental expenditures represent transfers of resources to another governmental unit outside the reporting entity. Proprietary Funds - Expenses: Expenses of proprietary funds also should be classified in a logical manner consistent with industry practices and standards. Emphasis should be placed on displaying a cost of sales/services amount and the appropriate display of operating and non-operating expenses. For Expenditure accounts the first character is always 5. The second digit refers to the ""Expenditure type"". The major expenditure types are as follows:",Uniform FY27,Revenue,45100,No,Yes,Yes,No,No,No,Yes,No,No
45120,Premium or Discount on the Issuance of Bonds,Active,Proceeds from that portion of the sale price of bonds in excess of or below their par value. The premium or discount represents an adjustment of the interest rate and will be amortized using account 58340 (Amortization of Premium and Discount on Issuance of Bonds). Also includes any accrued interest received at the time of sale of the bonds.,Uniform FY27,Revenue,45100,No,Yes,Yes,No,No,No,No,No,No
